Year,Country,Inflation_rate
1980,Africa,16.7
1981,Africa,18.5
1982,Africa,16.2
1983,Africa,19.3
1984,Africa,22.1
1985,Africa,27.8
1986,Africa,25.5
1987,Africa,21.3
1988,Africa,17.9
1989,Africa,19.7
1990,Africa,23.1
1991,Africa,27.6
1992,Africa,32.8
1993,Africa,37.5
1994,Africa,33.7
1995,Africa,27.8
1996,Africa,22.3
1997,Africa,17.8
1998,Africa,14.5
1999,Africa,11.8
2000,Africa,10.5
2001,Africa,9.2
2002,Africa,10.8
2003,Africa,12.1
2004,Africa,9.5
2005,Africa,8.3
2006,Africa,7.2
2007,Africa,8.4
2008,Africa,11.7
2009,Africa,8.6
2010,Africa,7.1
2011,Africa,8.9
2012,Africa,9.7
2013,Africa,8.5
2014,Africa,7.3
2015,Africa,9.8
2016,Africa,12.2
2017,Africa,10.5
2018,Africa,9.3
2019,Africa,8.1
2020,Africa,6.5
2021,Africa,8.7
2022,Africa,13.9
2023,Africa,11.8
2024,Africa,9.7
1980,North America,13.5
1981,North America,10.3
1982,North America,6.2
1983,North America,3.2
1984,North America,4.3
1985,North America,3.8
1986,North America,2.7
1987,North America,3.6
1988,North America,4.1
1989,North America,4.8
1990,North America,5.4
1991,North America,4.2
1992,North America,3.0
1993,North America,3.0
1994,North America,2.6
1995,North America,2.8
1996,North America,2.9
1997,North America,2.3
1998,North America,1.6
1999,North America,2.2
2000,North America,3.4
2001,North America,2.8
2002,North America,1.6
2003,North America,2.3
2004,North America,2.7
2005,North America,3.4
2006,North America,3.2
2007,North America,2.9
2008,North America,3.8
2009,North America,-0.3
2010,North America,1.6
2011,North America,3.0
2012,North America,2.1
2013,North America,1.5
2014,North America,1.6
2015,North America,0.1
2016,North America,1.3
2017,North America,2.1
2018,North America,2.4
2019,North America,1.8
2020,North America,1.2
2021,North America,4.3
2022,North America,8.1
2023,North America,4.1
2024,North America,2.7
1980,South America,55.7
1981,South America,68.3
1982,South America,89.7
1983,South America,115.2
1984,South America,163.4
1985,South America,218.7
1986,South America,135.3
1987,South America,108.6
1988,South America,357.8
1989,South America,1185.3
1990,South America,197.3
1991,South America,108.4
1992,South America,49.8
1993,South America,19.7
1994,South America,11.2
1995,South America,9.5
1996,South America,7.8
1997,South America,6.5
1998,South America,5.8
1999,South America,7.1
2000,South America,8.9
2001,South America,9.7
2002,South America,14.2
2003,South America,12.5
2004,South America,8.7
2005,South America,6.8
2006,South America,6.1
2007,South America,7.2
2008,South America,9.8
2009,South America,7.5
2010,South America,6.3
2011,South America,8.5
2012,South America,9.2
2013,South America,10.5
2014,South America,12.3
2015,South America,15.7
2016,South America,19.4
2017,South America,14.8
2018,South America,18.3
2019,South America,15.6
2020,South America,10.2
2021,South America,18.5
2022,South America,32.4
2023,South America,25.1
2024,South America,18.9
1980,Asia,13.8
1981,Asia,11.9
1982,Asia,9.7
1983,Asia,8.5
1984,Asia,7.9
1985,Asia,7.2
1986,Asia,6.5
1987,Asia,6.1
1988,Asia,7.3
1989,Asia,8.8
1990,Asia,9.5
1991,Asia,8.1
1992,Asia,6.7
1993,Asia,7.3
1994,Asia,8.9
1995,Asia,8.2
1996,Asia,6.9
1997,Asia,5.3
1998,Asia,7.8
1999,Asia,3.6
2000,Asia,2.9
2001,Asia,2.1
